ID,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., (=routine syntax, :=Dc syntax",Description
179,Base 64 encapsulation digit 52,0,BN,,!Mi,Encapsulation,,
180,Base 64 encapsulation digit 53,0,BN,,!Mi,Encapsulation,,
181,Base 64 encapsulation digit 54,0,BN,,!Mi,Encapsulation,,
182,Base 64 encapsulation digit 55,0,BN,,!Mi,Encapsulation,,
183,Base 64 encapsulation digit 56,0,BN,,!Mi,Encapsulation,,
184,Base 64 encapsulation digit 57,0,BN,,!Mi,Encapsulation,,
185,Base 64 encapsulation digit 58,0,BN,,!Mi,Encapsulation,,
186,Base 64 encapsulation digit 59,0,BN,,!Mi,Encapsulation,,
187,Base 64 encapsulation digit 60,0,BN,,!Mi,Encapsulation,,
188,Base 64 encapsulation digit 61,0,BN,,!Mi,Encapsulation,,
189,Base 64 encapsulation digit 62,0,BN,,!Mi,Encapsulation,,
190,Base 64 encapsulation digit 63,0,BN,,!Mi,Encapsulation,,
191,Begin encapsulated UTF-8,0,BN,,!Mi,Encapsulation,,Begin Base 64 encapsulated UTF-8
192,End encapsulated UTF-8,0,BN,,!Mi,Encapsulation,,End Base 64 encapsulated UTF-8
193,Form feed,0,WS,,Cc,Controls,,
194,DCE Version Selector 3.01a,0,BN,,!Mi,DCE versions,,
195,Base 64 encapsulation padding character,0,BN,,!Mi,Encapsulation,,
196,Variant Selectors,0,BN,,!Mi,DCE sheets,,
197,Semantic Records,0,BN,,!Mi,DCE sheets,,
198,Mathematics,0,BN,,!Mi,DCE sheets,,
199,Punctuation and Whitespace,0,BN,,!Mi,DCE sheets,,
200,Begin keyed embed fragment,0,BN,,!Mi,Encapsulation,,"This Dc is used for embedding arbitrary keyed ID/data pairs in a document. Standard structure: Followed by base64-encoded data identifying a fragment, then Dc 202 (End keyed embed ID sequence), then by the base64-encoded fragment itself, then by Dc 201 (End keyed embed fragment)."
201,End keyed embed fragment,0,BN,,!Mi,Encapsulation,,See description for 200
202,End keyed embed ID sequence,0,BN,,!Mi,Encapsulation,,See description for 200
203,Begin encapsulated binary data,0,BN,,!Mi,Encapsulation,,"Arbitrary binary data (base64 encoded, no semantic significance assigned to it)"
204,End encapsulated binary data,0,BN,,!Mi,Encapsulation,,See description for 203
205,DCE Version Selector 3.03a,0,BN,,!Mi,DCE versions,,
206,Unicode replacement character,0,ON,,So,Miscellaneous,,Used to replace an incoming character whose value is unknown or unrepresentable in Unicode
207,Replacement character for unavailable Dc,0,ON,,So,Miscellaneous,,Used to replace an incoming character whose value is not mapped to a Dc (document component)
208,Start of heading,0,BN,,Cc,Controls,,
209,Start of text,0,BN,,Cc,Controls,,
210,End of text,0,BN,,Cc,Controls,,
211,End of transmission,0,BN,,Cc,Controls,,
212,Enquiry,0,BN,,Cc,Controls,,
213,Acknowledge,0,BN,,Cc,Controls,,
214,Bell,0,BN,,Cc,Controls,,
215,Shift out,0,BN,,Cc,Controls,,
216,Shift in,0,BN,,Cc,Controls,,
217,Data link escape,0,BN,,Cc,Controls,,
218,Device control one,0,BN,,Cc,Controls,"xon, resume transmission",
219,Device control two,0,BN,,Cc,Controls,,
220,Device control three,0,BN,,Cc,Controls,"xoff, pause transmission",
221,Device control four,0,BN,,Cc,Controls,,
222,Negative acknowledge,0,BN,,Cc,Controls,,
223,Synchronous idle,0,BN,,Cc,Controls,,
224,End of transmission block,0,BN,,Cc,Controls,,
225,Cancel,0,BN,,Cc,Controls,,
226,End of medium,0,BN,,Cc,Controls,,
227,Substitute,0,BN,,Cc,Controls,,
228,Escape,0,BN,,Cc,Controls,,
229,Information separator four,0,B,,Cc,Controls,,
230,Information separator three,0,B,,Cc,Controls,,
231,Information separator two,0,B,,Cc,Controls,,
232,Information separator one,0,S,,Cc,Controls,,
233,Hyphen-minus,0,ES,,Pd,Punctuation,<ambiguous>31 237,
234,Delete,0,BN,,Cc,Controls,,
235,Begin document,0,BN,,!Sy,Semantic,,Beginning of a document
236,End document,0,BN,,!Sy,Semantic,,
237,Minus,0,ES,,Sm,Mathematics,,
238,Full stop/decimal point,0,CS,,Po,Punctuation,<ambiguous>12 32,
239,Line feed,0,B,,Cc,Punctuation,,"This character instructs a terminal to move the cursor to the beginning of the line horizontally without advancing to the next line vertically. This character is not directly equivalent to ASCII line feed, because that is sometimes used for a combined new line and carriage return. For representing the ASCII line feed, use Dc 120."
240,Carriage return,0,B,,Cc,Punctuation,,"This character instructs a terminal to advance to the next line vertically without moving the cursor to the beginning of the line horizontally. This character is not directly equivalent to ASCII carriage return, because that is sometimes used for a combined new line and carriage return. For representing the ASCII carriage return, use Dc 121."
241,Switch to Document mode,0,BN,,!Mi,Semantic,,Indicates that the following contents expect a graphical raster display output.
242,Switch to Library mode,0,BN,,!Mi,Semantic,,"Indicates that the following contents provide resources (such as routine, class, or other definitions) for consumption by other documents."
243,Switch to Structured mode,0,BN,,!Mi,Semantic,,Indicates that the following contents represent structured data.
244,Switch to Terminal mode,0,BN,,!Mi,Semantic,,Indicates that the following contents expect a character-based terminal display output.
245,Switch to Web mode,0,BN,,!Mi,Semantic,,Indicates that the following contents are designed to respond to a Web request (in a manner similar to a PHP or CGI script).
246,Begin single-line source comment on current line,0,BN,,!Mi,Miscellaneous,:~ [^248 255]+ 248,"Begins a comment that, when represented in EM (Ember Language source) format, should be displayed as a “#”-style comment. All characters except 248 and 255 will be ignored. Use 255 248 to represent 248 within the comment, and 255 255 to represent 255 within the comment."
