Dc ID,Name (!=deprecated),Type,Script,⇵,⌥,◌,⇆,Aa,Syntax,Aliases,Description
160,Base 64 encapsulation digit 33,!Mi,Encapsulation,,,0,BN,,,,
161,Base 64 encapsulation digit 34,!Mi,Encapsulation,,,0,BN,,,,
162,Base 64 encapsulation digit 35,!Mi,Encapsulation,,,0,BN,,,,
163,Base 64 encapsulation digit 36,!Mi,Encapsulation,,,0,BN,,,,
164,Base 64 encapsulation digit 37,!Mi,Encapsulation,,,0,BN,,,,
165,Base 64 encapsulation digit 38,!Mi,Encapsulation,,,0,BN,,,,
166,Base 64 encapsulation digit 39,!Mi,Encapsulation,,,0,BN,,,,
167,Base 64 encapsulation digit 40,!Mi,Encapsulation,,,0,BN,,,,
168,Base 64 encapsulation digit 41,!Mi,Encapsulation,,,0,BN,,,,
169,Base 64 encapsulation digit 42,!Mi,Encapsulation,,,0,BN,,,,
170,Base 64 encapsulation digit 43,!Mi,Encapsulation,,,0,BN,,,,
171,Base 64 encapsulation digit 44,!Mi,Encapsulation,,,0,BN,,,,
172,Base 64 encapsulation digit 45,!Mi,Encapsulation,,,0,BN,,,,
173,Base 64 encapsulation digit 46,!Mi,Encapsulation,,,0,BN,,,,
174,Base 64 encapsulation digit 47,!Mi,Encapsulation,,,0,BN,,,,
175,Base 64 encapsulation digit 48,!Mi,Encapsulation,,,0,BN,,,,
176,Base 64 encapsulation digit 49,!Mi,Encapsulation,,,0,BN,,,,
177,Base 64 encapsulation digit 50,!Mi,Encapsulation,,,0,BN,,,,
178,Base 64 encapsulation digit 51,!Mi,Encapsulation,,,0,BN,,,,
179,Base 64 encapsulation digit 52,!Mi,Encapsulation,,,0,BN,,,,
180,Base 64 encapsulation digit 53,!Mi,Encapsulation,,,0,BN,,,,
181,Base 64 encapsulation digit 54,!Mi,Encapsulation,,,0,BN,,,,
182,Base 64 encapsulation digit 55,!Mi,Encapsulation,,,0,BN,,,,
183,Base 64 encapsulation digit 56,!Mi,Encapsulation,,,0,BN,,,,
184,Base 64 encapsulation digit 57,!Mi,Encapsulation,,,0,BN,,,,
185,Base 64 encapsulation digit 58,!Mi,Encapsulation,,,0,BN,,,,
186,Base 64 encapsulation digit 59,!Mi,Encapsulation,,,0,BN,,,,
187,Base 64 encapsulation digit 60,!Mi,Encapsulation,,,0,BN,,,,
188,Base 64 encapsulation digit 61,!Mi,Encapsulation,,,0,BN,,,,
189,Base 64 encapsulation digit 62,!Mi,Encapsulation,,,0,BN,,,,
190,Base 64 encapsulation digit 63,!Mi,Encapsulation,,,0,BN,,,,
191,Begin encapsulated UTF-8,!Mi,Encapsulation,,,0,BN,,E:192,,Begin Base 64 encapsulated UTF-8
192,End encapsulated UTF-8,!Mi,Encapsulation,,,0,BN,,B:191,,End Base 64 encapsulated UTF-8
193,Form feed,Cc,Controls,,,0,WS,,,,
194,DCE Version Selector 3.01a,!Mi,DCE versions,,,0,BN,,,,
195,Base 64 encapsulation padding character,!Mi,Encapsulation,,,0,BN,,,,
196,Variant Selectors,!Mi,DCE sheets,,,0,BN,,,,
197,Semantic Records,!Mi,DCE sheets,,,0,BN,,,,
198,Mathematics,!Mi,DCE sheets,,,0,BN,,,,
199,Punctuation and Whitespace,!Mi,DCE sheets,,,0,BN,,,,
200,Begin keyed embed fragment,!Mi,Encapsulation,,,0,BN,,Complex,,"This Dc is used for embedding arbitrary keyed ID/data pairs in a document. Standard structure: Followed by base64-encoded data identifying a fragment, then Dc 202 (End keyed embed ID sequence), then by the base64-encoded fragment itself, then by Dc 201 (End keyed embed fragment)."
201,End keyed embed fragment,!Mi,Encapsulation,,,0,BN,,Complex,,See description for 200
202,End keyed embed ID sequence,!Mi,Encapsulation,,,0,BN,,Complex,,See description for 200
203,Begin encapsulated binary data,!Mi,Encapsulation,,,0,BN,,Complex,,"Arbitrary binary data (base64 encoded, no semantic significance assigned to it)"
204,End encapsulated binary data,!Mi,Encapsulation,,,0,BN,,Complex,,See description for 203
205,DCE Version Selector 3.03a,!Mi,DCE versions,,,0,BN,,,,
206,Unicode replacement character,So,Miscellaneous,,,0,ON,,,,Used to replace an incoming character whose value is unknown or unrepresentable in Unicode
207,Replacement character for unavailable Dc,So,Miscellaneous,,,0,ON,,,,Used to replace an incoming character whose value is not mapped to a Dc (document component)
208,Start of heading,Cc,Controls,,,0,BN,,,,
209,Start of text,Cc,Controls,,,0,BN,,,,
210,End of text,Cc,Controls,,,0,BN,,,,
211,End of transmission,Cc,Controls,,,0,BN,,,,
212,Enquiry,Cc,Controls,,,0,BN,,,,
213,Acknowledge,Cc,Controls,,,0,BN,,,,
214,Bell,Cc,Controls,,,0,BN,,,,
215,Shift out,Cc,Controls,,,0,BN,,,,
216,Shift in,Cc,Controls,,,0,BN,,,,
217,Data link escape,Cc,Controls,,,0,BN,,,,
218,Device control one,Cc,Controls,,,0,BN,,,,
219,Device control two,Cc,Controls,,,0,BN,,,,
220,Device control three,Cc,Controls,,,0,BN,,,,
221,Device control four,Cc,Controls,,,0,BN,,,,
222,Negative acknowledge,Cc,Controls,,,0,BN,,,,
223,Synchronous idle,Cc,Controls,,,0,BN,,,,
224,End of transmission block,Cc,Controls,,,0,BN,,,,
225,Cancel,Cc,Controls,,,0,BN,,,,
226,End of medium,Cc,Controls,,,0,BN,,,,
227,Substitute,Cc,Controls,,,0,BN,,,,
228,Escape,Cc,Controls,,,0,BN,,,,
229,Information separator four,Cc,Controls,,,0,B,,,,
230,Information separator three,Cc,Controls,,,0,B,,,,
231,Information separator two,Cc,Controls,,,0,B,,,,
232,Information separator one,Cc,Controls,,,0,S,,,,
233,Hyphen-minus,Pd,Punctuation,,,0,ES,,,,
234,Delete,Cc,Controls,,,0,BN,,,,
235,Begin document,!Sy,Semantic,,,0,BN,,E:236,,Beginning of a document
236,End document,!Sy,Semantic,,,0,BN,,B:235,,
237,,,,,,,,,,,
238,,,,,,,,,,,
239,,,,,,,,,,,
240,,,,,,,,,,,
